Year,Month,Date,Chapter,General Fund,Savings/Strike
2025,Aug,8/19/2025,MEAWU,"$3,450.91 ",$0.00 
2025,Aug,8/19/2025,NVLF,"$2,799.06 ",$0.00 
2025,Aug,8/19/2025,UDWU,"$13,640.72 ",$0.00 
2025,Aug,8/19/2025,UFCW367,"$4,625.12 ",$0.00 
2025,Aug,8/19/2025,KIWA,"$1,388.00 ",$0.00 
2025,July,7/24/2025,WORKING WA,"$9,895.40 ",$317.70 
2025,July,7/24/2025,BSSU,"$80,416.84 ","$81,110.53 "
2025,July,7/24/2025,LA LABOR FED,"$14,750.97 ",$0.00 
2025,July,7/24/2025,PROTEC17,"$25,404.42 ",$0.00 
2025,July,7/24/2025,SEIU 925 ,"$273,373.67 ",$0.00 
2025,July,7/24/2025,SEIU 2015 ,"$188,093.84 ","$171,916.64 "
2025,July,7/24/2025,SEIU 221 ,"$22,071.98 ",$0.00 
2025,July,7/24/2025,UFCW 3000,"$73,386.18 ",$0.00 
2025,July,7/24/2025,MEAWU,"$3,450.91 ",$0.00 
2025,July,7/24/2025,NVLF,"$2,799.06 ",$0.00 
2025,July,7/24/2025,UDWU,"$13,640.72 ",$0.00 
2025,July,7/24/2025,UFCW367,"$3,835.36 ",$0.00 
2025,July,7/24/2025,KIWA,"$1,388.00 ",$0.00 
2025,June,6/17/2025,WORKING WA,"$9,680.78 ",$293.81 
2025,June,6/17/2025,BSSU,"$77,771.54 ","$81,100.53 "
2025,June,6/17/2025,LA LABOR FED,"$14,750.97 ",$0.00 
2025,June,6/17/2025,PROTEC17,"$24,242.64 ",$0.00 
2025,June,6/17/2025,SEIU 925 ,"$270,989.54 ",$0.00 
2025,June,6/17/2025,SEIU 2015 ,"$188,185.82 ","$171,895.44 "
2025,June,6/17/2025,SEIU 221 ,"$21,884.41 ",$0.00 
2025,June,6/17/2025,UFCW 3000,"$70,132.89 ",$0.00 
2025,June,6/17/2025,MEAWU,"$3,450.91 ",$0.00 
2025,June,6/17/2025,NVLF,"$2,799.06 ",$0.00 
2025,June,6/17/2025,UDWU,"$13,640.72 ",$0.00 
2025,June,6/17/2025,UFCW367,"$3,835.36 ",$0.00 
2025,June,6/17/2025,KIWA,"$1,388.00 ",$0.00 
2025,May,5/21/2025,WORKING WA,"$9,408.09 ",$205.17 
2025,May,5/21/2025,BSSU,"$76,809.44 ","$81,080.19 "
2025,May,5/21/2025,LA LABOR FED,"$14,750.97 ",$0.00 
2025,May,5/21/2025,PROTEC17,"$23,120.10 ",$0.00 
2025,May,5/21/2025,SEIU 925 ,"$268,702.09 ",$0.00 
2025,May,5/21/2025,SEIU 2015 ,"$188,230.81 ","$171,852.35 "
2025,May,5/21/2025,SEIU 221 ,"$21,058.84 ",$0.00 
2025,May,5/21/2025,UFCW 3000,"$66,506.19 ",$0.00 
2025,May,5/21/2025,KIWA,$0.00 ,"$1,388.00 "
2025,Apr,4/15/2025,WORKING WA,"$10,308.09 ",$201.11 
2025,Apr,4/15/2025,BSSU,"$72,334.57 ","$81,056.53 "
2025,Apr,4/15/2025,LA LABOR FED,"$13,146.07 ",$0.00 
2025,Apr,4/15/2025,PROTEC17,"$23,100.65 ",$0.00 
2025,Apr,4/15/2025,SEIU 121RN ,"$63,670.72 ",$0.00 
2025,Apr,4/15/2025,SEIU 925 ,"$266,519.39 ",$0.00 
2025,Apr,4/15/2025,SEIU 2015 ,"$188,698.78 ","$171,806.67 "
2025,Apr,4/15/2025,SEIU 221 ,"$21,797.29 ",$0.00 
2025,Apr,4/15/2025,UFCW 21 ,"$60,748.11 ",$0.00 
2025,Apr,4/15/2025,MEAWU,"$4,628.08 ",$0.00 
2025,Apr,4/15/2025,NVLF,"$3,873.00 ",$0.00 
2025,Apr,4/15/2025,UFCW367,"$4,310.54 ",$0.00 
2025,Apr,4/15/2025,KIWA,$0.00 ,"$1,388.00 "
2025,Mar,3/18/2025,WORKING WA,"$10,308.09 ",$201.11 
